,KNN_std,NAIVE_BAYES_std,RANDOMFOREST_std,SGD(LINEAR)_std
ADULT,0.01,0.02,0.02,0.008
CADATA,0.03,0.04,0.02,4e+20
DIGITS,0.008,0.006,0.004,0.006
DOROTHEA,0.05,0.04,0.2,0.2
NEWSGROUPS,0.01,0.007,0.01,0.02
CHRISTINE,0.06,0.06,0.06,0.04
JASMINE,0.06,0.06,0.05,0.05
MADELINE,0.04,0.05,0.05,0.0
PHILIPPINE,0.04,0.04,0.04,0.04
SYLVINE,0.02,0.02,0.01,0.02
ALBERT,0.01,0.01,0.01,0.01
DILBERT,0.02,0.02,0.008,0.01
FABERT,0.04,0.03,0.03,0.04
ROBERT,0.02,0.02,0.02,0.02
VOLKERT,0.03,0.02,0.03,0.02
ALEXIS,0.001,0.01,0.001,0.01
DIONIS,0.009,0.009,0.01,0.009
GRIGORIS,0.01,,0.02,0.02
JANNIS,0.02,0.03,0.02,0.01
WALLIS,0.02,0.02,0.02,0.02
EVITA,0.06,0.07,0.05,0.07
FLORA,0.06,0.07,0.06,3e+36
HELENA,0.009,0.01,0.01,0.006
TANIA,0.004,,0.002,0.01
YOLANDA,0.02,0.01,0.02,2e+28
ARTURO,0.02,0.03,0.03,0.03
CARLO,0.05,0.1,0.08,0.06
MARCO,0.0,0.002,0.0003,0.008
PABLO,0.02,0.01,0.02,0.02
WALDO,0.03,0.03,0.04,0.04
