,aad_freiburg_SameLoss_std,abhishek_SameLoss_std,asml_intel_SameLoss_std,djajetic_SameLoss_std,jameslloyd_SameLoss_std,lise_sun_SameLoss_std,marcboulle_SameLoss_std,postech_SameLoss_std,reference_SameLoss_std
ADULT,0.009,0.008,0.007,0.008,0.009,0.01,0.01,0.008,0.008
CADATA,0.01,0.02,0.02,0.02,0.005,0.02,0.02,0.02,0.02
DIGITS,0.004,0.007,0.006,0.005,0.007,0.003,0.006,0.004,0.008
DOROTHEA,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1
NEWSGROUPS,0.03,0.04,0.03,0.04,0.03,0.001,0.03,0.02,0.04
CHRISTINE,0.06,0.05,,0.06,0.06,0.05,0.06,0.06,0.06
JASMINE,0.05,0.07,,0.05,,0.05,0.05,0.05,0.06
MADELINE,0.03,0.04,,0.04,,0.04,0.05,0.04,0.05
PHILIPPINE,0.04,0.04,,0.04,,0.03,0.03,0.04,0.04
SYLVINE,0.01,0.01,,0.01,,0.02,0.02,0.01,0.01
ALBERT,0.01,0.02,,0.01,,0.01,0.02,,0.01
DILBERT,0.009,0.02,0.008,0.02,0.007,0.09,0.02,0.006,0.02
FABERT,0.03,0.03,0.01,0.02,0.004,0.005,0.04,0.07,0.03
ROBERT,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02
VOLKERT,0.01,0.01,,0.01,0.007,0.004,0.02,0.01,0.01
ALEXIS,0.009,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.01
DIONIS,0.01,0.01,,0.02,,0.01,0.01,,0.01
GRIGORIS,0.02,0.03,,0.03,,,0.03,,0.03
JANNIS,0.03,0.01,,0.03,0.02,0.02,0.03,0.03,0.02
WALLIS,0.02,0.02,,0.02,0.006,0.02,0.01,0.02,0.02
EVITA,0.08,0.08,,0.09,0.07,0.07,0.08,0.07,0.06
FLORA,0.02,0.04,,0.03,,0.04,0.03,0.03,0.05
HELENA,0.01,0.008,,0.01,0.007,0.01,0.01,0.01,0.006
TANIA,0.003,0.007,,0.002,,0.008,0.006,,0.007
YOLANDA,0.009,0.01,,0.01,0.001,0.01,0.01,0.006,0.01
ARTURO,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03
CARLO,0.09,0.1,0.1,0.1,,,0.2,0.09,0.1
MARCO,0.03,0.04,,0.03,0.03,0.03,,0.03,0.04
PABLO,0.01,0.01,,0.008,0.001,0.01,0.01,,0.01
WALDO,0.04,0.04,,0.04,0.03,0.03,0.04,0.04,0.04
