,KNN,NAIVE BAYES,RANDOMFOREST,SGD(LINEAR)
ADULT,0.26,0.27,0.41,0.34
CADATA,0.48,,0.48,0.52
DIGITS,0.0,0.59,0.933,0.802
DOROTHEA,0.4,0.4,0.0,0.5
NEWSGROUPS,0.53,0.18,0.008,0.68
CHRISTINE,0.47,0.41,0.49,0.5
JASMINE,0.6,0.52,0.63,0.58
MADELINE,0.81,0.22,0.76,0.21
PHILIPPINE,0.55,0.39,0.58,0.45
SYLVINE,0.91,0.81,0.89,0.85
ALBERT,0.0,0.2,0.0,0.27
DILBERT,0.973,0.56,0.97,0.86
FABERT,0.6,0.51,0.61,0.55
ROBERT,0.0,0.0,0.0,0.0
VOLKERT,0.55,0.33,0.51,0.151
ALEXIS,0.0,0.42,0.11,0.267
DIONIS,,,,
GRIGORIS,0.0,0.55,0.0,
JANNIS,0.34,0.24,0.33,0.32
WALLIS,0.26,0.26,0.34,0.18
EVITA,0.2,0.0,0.27,0.15
FLORA,-0.001,,,-0.001
HELENA,0.14,0.17,0.0,
TANIA,0.0,,0.0,
YOLANDA,0.24,,0.24,0.24
ARTURO,0.67,0.65,0.76,0.45
CARLO,0.0,0.0,0.0,0.0
MARCO,0.0,0.3,0.0,
PABLO,0.36,,0.37,0.37
WALDO,0.45,0.27,0.55,0.35
