,KNN,NAIVE BAYES,RANDOMFOREST,SGD(LINEAR)
ADULT,0.04,0.32,0.45,0.049
CADATA,0.08,0.62,0.73,-2.23415160646e+21
DIGITS,0.661,0.252,0.924,0.758
DOROTHEA,0.01,0.02,0.4,0.5
NEWSGROUPS,0.04,0.026,0.12,0.77
CHRISTINE,0.39,0.36,0.39,0.17
JASMINE,0.54,0.32,0.58,0.54
MADELINE,0.57,0.17,0.41,0.0
PHILIPPINE,0.23,0.36,0.46,0.23
SYLVINE,0.52,0.78,0.86,0.55
ALBERT,0.1,0.18,0.26,0.02
DILBERT,0.48,0.4,0.944,0.84
FABERT,0.56,0.41,0.61,0.59
ROBERT,0.1,0.16,0.29,0.22
VOLKERT,0.52,0.24,0.47,0.23
ALEXIS,0.002,0.38,0.001,0.42
DIONIS,0.018,0.017,0.03,0.003
GRIGORIS,0.04,,0.0,0.62
JANNIS,0.13,0.29,0.32,0.22
WALLIS,0.21,0.04,0.34,0.39
EVITA,0.32,0.35,0.18,0.28
FLORA,0.58,0.6,0.44,-2.71780017876e+37
HELENA,0.082,0.14,0.15,0.034
TANIA,0.075,,0.014,0.68
YOLANDA,-0.12,0.24,-0.09,-2.68153121551e+29
ARTURO,0.07,0.39,0.5,0.68
CARLO,0.02,0.7,0.13,0.05
MARCO,0.0,0.007,0.0006,0.044
PABLO,0.09,0.36,0.36,0.2
WALDO,0.03,0.23,0.49,0.03
