,aad_freiburg_SameLoss,abhishek_SameLoss,asml_intel_SameLoss,djajetic_SameLoss,jameslloyd_SameLoss,lise_sun_SameLoss,marcboulle_SameLoss,postech_SameLoss,reference_SameLoss
ADULT,0.467,0.449,0.488,0.4,0.438,0.44,0.59,0.445,0.451
CADATA,0.78,0.75,0.82,0.77,0.095,0.78,0.64,0.62,0.75
DIGITS,0.93,0.778,0.859,0.263,0.728,0.946,0.862,0.947,0.728
DOROTHEA,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NEWSGROUPS,0.81,0.85,0.71,0.88,0.71,0.777,0.64,0.68,0.85
CHRISTINE,0.48,0.5,,0.47,0.45,0.46,0.45,0.46,0.5
JASMINE,0.64,0.55,,0.6,,0.61,0.56,0.63,0.58
MADELINE,0.78,0.54,,0.65,,0.54,0.18,0.76,0.53
PHILIPPINE,0.62,0.52,,0.51,,0.52,0.45,0.56,0.52
SYLVINE,0.9,0.89,,0.89,,0.87,0.83,0.88,0.89
ALBERT,0.0,0.33,,0.31,,0.31,0.36,,0.33
DILBERT,0.98,0.76,0.962,0.93,0.603,0.97,0.73,0.971,0.82
FABERT,0.63,0.58,0.61,0.61,0.138,0.624,0.52,0.65,0.62
ROBERT,0.42,0.27,,0.31,0.21,0.4,0.4,0.34,0.27
VOLKERT,0.57,0.36,,0.46,0.216,0.496,0.32,0.44,0.41
ALEXIS,0.056,0.165,0.04,0.0,0.03,0.36,0.038,0.009,0.16
DIONIS,0.73,0.32,,0.75,,0.87,0.75,,0.32
GRIGORIS,0.0,0.38,,0.0,,,0.12,,0.38
JANNIS,0.4,0.33,,0.39,0.24,0.36,0.39,0.41,0.36
WALLIS,0.33,0.34,,0.47,0.037,0.22,0.22,0.34,0.34
EVITA,0.16,0.0,,0.09,0.19,0.11,0.15,0.45,0.0
FLORA,0.29,0.45,,0.58,,0.52,0.67,0.38,0.45
HELENA,0.19,0.067,,0.15,0.062,0.2,0.19,0.26,0.062
TANIA,0.08,0.464,,0.004,,0.582,0.339,,0.429
YOLANDA,0.245,0.25,,0.25,0.022,0.23,0.19,0.197,0.25
ARTURO,0.79,0.63,0.72,0.76,0.31,0.72,0.62,0.76,0.67
CARLO,0.23,0.3,0.2,0.2,,,0.5,0.21,0.3
MARCO,0.07,0.05,,0.0,0.02,0.08,0.03,0.04,0.05
PABLO,0.43,0.4,,0.393,0.055,0.41,0.36,,0.4
WALDO,0.58,0.55,,0.56,0.56,0.56,0.45,0.56,0.56
