,BAYESIAN_std,KNN_std,RANDOMFOREST_std,SGD_std
ADULT,0.01,0.01,0.009,0.008
CADATA,0.03,0.03,0.02,3e+20
DIGITS,0.006,0.008,0.005,0.007
DOROTHEA,0.05,0.04,0.2,0.2
NEWSGROUPS,0.0005,0.0006,0.0006,0.001
CHRISTINE,0.07,0.05,0.06,0.04
JASMINE,0.06,0.06,0.05,0.05
MADELINE,0.06,0.04,0.05,0.0
PHILIPPINE,0.04,0.04,0.04,0.03
SYLVINE,0.02,0.02,0.02,0.02
ALBERT,0.02,0.01,0.02,0.02
DILBERT,0.0004,0.0004,0.05,0.006
FABERT,0.005,0.005,0.005,0.005
ROBERT,0.02,0.02,0.02,0.02
VOLKERT,0.004,0.004,0.004,0.004
ALEXIS,0.01,0.001,0.001,0.01
DIONIS,0.01,0.01,0.01,0.009
GRIGORIS,,0.01,0.02,0.04
JANNIS,0.03,0.02,0.02,0.01
WALLIS,0.02,0.02,0.02,0.02
EVITA,0.07,0.08,0.05,0.06
FLORA,0.04,0.05,0.04,4e+17
HELENA,0.01,0.008,0.009,0.006
TANIA,,0.01,0.009,0.04
YOLANDA,0.01,0.02,0.02,2e+28
ARTURO,0.03,0.02,0.03,0.03
CARLO,5.0,0.5,0.7,1.0
MARCO,0.002,0.0,0.0003,0.008
PABLO,0.009,0.01,0.01,0.01
WALDO,0.03,0.04,0.04,0.03
