,KNN,NAIVE BAYES,RANDOMFOREST,SGD(LINEAR)
ADULT,0.748,0.74,0.808,0.777
CADATA,0.48,,0.48,0.52
DIGITS,0.0,0.59,0.933,0.802
DOROTHEA,0.4,0.4,0.0,0.5
NEWSGROUPS,-0.0532,-0.0532,-0.0532,-0.052
CHRISTINE,0.47,0.41,0.49,0.5
JASMINE,0.6,0.52,0.63,0.58
MADELINE,0.81,0.22,0.76,0.21
PHILIPPINE,0.55,0.39,0.58,0.45
SYLVINE,0.91,0.81,0.89,0.85
ALBERT,-1.0,-0.05,-1.0,0.25
DILBERT,0.3,-0.25,0.3,-0.229
FABERT,-0.181,-0.181,-0.181,-0.181
ROBERT,0.0,0.0,0.0,0.0
VOLKERT,-0.15,-0.15,-0.15,-0.15
ALEXIS,0.0,0.42,0.11,0.267
DIONIS,,,,
GRIGORIS,0.0,0.55,0.0,
JANNIS,0.34,0.24,0.33,0.32
WALLIS,0.26,0.26,0.34,0.18
EVITA,0.2,0.0,0.27,0.15
FLORA,-0.002,,,-0.002
HELENA,0.14,0.17,0.0,
TANIA,-3.21,,-3.207,
YOLANDA,0.24,,0.24,0.24
ARTURO,0.66,0.65,0.75,0.51
CARLO,-4.39,-4.39,-4.39,-4.39
MARCO,0.0,0.3,0.0,
PABLO,0.25,,0.25,0.252
WALDO,0.45,0.27,0.55,0.35
