,BAYESIAN,KNN,RANDOMFOREST,SGD
ADULT,0.72,0.66,0.786,0.736
CADATA,0.62,0.08,0.73,-2.23415160646e+21
DIGITS,0.252,0.661,0.924,0.758
DOROTHEA,0.02,0.01,0.4,0.5
NEWSGROUPS,-0.0532,-0.0532,-0.0532,-0.052
CHRISTINE,0.36,0.39,0.39,0.17
JASMINE,0.32,0.54,0.58,0.54
MADELINE,0.17,0.57,0.41,0.0
PHILIPPINE,0.36,0.23,0.46,0.23
SYLVINE,0.78,0.52,0.86,0.55
ALBERT,-0.15,0.11,0.19,-0.36
DILBERT,-0.25,-0.25,0.01,-0.233
FABERT,-0.181,-0.181,-0.181,-0.181
ROBERT,0.16,0.1,0.29,0.22
VOLKERT,-0.15,-0.15,-0.15,-0.15
ALEXIS,0.38,0.002,0.001,0.42
DIONIS,0.02,0.02,0.03,0.003
GRIGORIS,,0.04,0.0,0.62
JANNIS,0.29,0.13,0.32,0.22
WALLIS,0.04,0.21,0.34,0.39
EVITA,0.35,0.32,0.18,0.28
FLORA,0.43,0.42,0.29,-6.54482389977e+18
HELENA,0.14,0.082,0.147,0.034
TANIA,,-3.13,-3.201,-2.01
YOLANDA,0.24,-0.12,-0.09,-2.68153121551e+29
ARTURO,0.35,0.03,0.49,0.68
CARLO,-13.9,-4.7,-4.3,-5.8
MARCO,0.007,0.0,0.0006,0.044
PABLO,0.252,0.09,0.25,0.15
WALDO,0.23,0.03,0.49,0.03
