,aad_freiburg,aad_freiburg_SameLoss,abhishek,abhishek_SameLoss,asml_intel,asml_intel_SameLoss,djajetic,djajetic_SameLoss,jameslloyd,jameslloyd_SameLoss,lise_sun,lise_sun_SameLoss,marcboulle,marcboulle_SameLoss,postech,postech_SameLoss,reference,reference_SameLoss
ADULT,0.819,0.467,0.812,0.449,0.821,0.488,0.81,0.4,0.81,0.438,0.791,0.44,0.67,0.59,0.792,0.445,0.814,0.451
CADATA,0.78,0.78,0.75,0.75,0.82,0.82,0.77,0.77,0.095,0.095,0.78,0.78,0.64,0.64,0.62,0.62,0.75,0.75
DIGITS,0.93,0.93,0.778,0.778,0.859,0.859,0.263,0.263,0.728,0.728,0.946,0.946,0.862,0.862,0.947,0.947,0.728,0.728
DOROTHEA,0.8,0.1,0.6,0.5,0.8,0.5,0.8,0.5,0.8,0.5,0.8,0.5,0.8,0.5,0.8,0.5,0.6,0.5
NEWSGROUPS,0.46,0.81,0.53,0.85,0.32,0.71,0.55,0.88,0.33,0.71,-0.052,0.777,0.28,0.64,0.28,0.68,0.53,0.85
CHRISTINE,0.48,0.48,0.5,0.5,,,0.47,0.47,0.45,0.45,0.46,0.46,0.45,0.45,0.46,0.46,0.5,0.5
JASMINE,0.64,0.64,0.55,0.55,,,0.6,0.6,,,0.61,0.61,0.56,0.56,0.63,0.63,0.58,0.58
MADELINE,0.78,0.78,0.54,0.54,,,0.65,0.65,,,0.54,0.54,0.18,0.18,0.76,0.76,0.53,0.53
PHILIPPINE,0.62,0.62,0.52,0.52,,,0.51,0.51,,,0.52,0.52,0.45,0.45,0.56,0.56,0.52,0.52
SYLVINE,0.9,0.9,0.89,0.89,,,0.89,0.89,,,0.87,0.87,0.83,0.83,0.88,0.88,0.89,0.89
ALBERT,0.33,0.0,0.32,0.33,,,0.31,0.31,,,0.3,0.31,0.35,0.36,,,0.32,0.33
DILBERT,0.937,0.98,0.48,0.76,0.656,0.962,0.77,0.93,0.205,0.603,0.26,0.97,0.46,0.73,0.619,0.971,0.58,0.82
FABERT,0.35,0.63,0.26,0.58,0.19,0.61,0.32,0.61,0.026,0.138,-0.181,0.624,0.21,0.52,0.28,0.65,0.3,0.62
ROBERT,0.42,0.42,0.27,0.27,,,0.31,0.31,0.21,0.21,0.4,0.4,0.4,0.4,0.34,0.34,0.27,0.27
VOLKERT,0.28,0.57,0.18,0.36,,,0.26,0.46,0.109,0.216,-0.15,0.496,0.14,0.32,0.25,0.44,0.21,0.41
ALEXIS,0.693,0.056,0.65,0.165,0.62,0.04,0.62,0.0,0.62,0.03,0.67,0.36,0.55,0.038,0.619,0.009,0.65,0.16
DIONIS,0.73,0.73,0.32,0.32,,,0.75,0.75,,,0.87,0.87,0.75,0.75,,,0.32,0.32
GRIGORIS,0.0,0.0,0.73,0.38,,,0.56,0.0,,,,,0.59,0.12,,,0.73,0.38
JANNIS,0.4,0.4,0.33,0.33,,,0.39,0.39,0.24,0.24,0.36,0.36,0.39,0.39,0.41,0.41,0.36,0.36
WALLIS,0.33,0.33,0.34,0.34,,,0.47,0.47,0.037,0.037,0.22,0.22,0.22,0.22,0.34,0.34,0.34,0.34
EVITA,0.54,0.16,0.41,0.0,,,0.52,0.09,0.58,0.19,0.54,0.11,0.52,0.15,0.61,0.45,0.41,0.0
FLORA,0.19,0.29,0.33,0.45,,,0.43,0.58,,,0.38,0.52,0.5,0.67,0.25,0.38,0.33,0.45
HELENA,0.19,0.19,0.067,0.067,,,0.15,0.15,0.062,0.062,0.2,0.2,0.19,0.19,0.26,0.26,0.062,0.062
TANIA,0.376,0.08,0.535,0.464,,,0.042,0.004,,,0.599,0.582,0.506,0.339,,,0.52,0.429
YOLANDA,0.24,0.245,0.25,0.25,,,0.25,0.25,0.022,0.022,0.23,0.23,0.19,0.19,0.197,0.197,0.25,0.25
ARTURO,0.78,0.79,0.63,0.63,0.72,0.72,0.76,0.76,0.3,0.31,0.72,0.72,0.62,0.62,0.75,0.76,0.67,0.67
CARLO,0.4,0.23,0.2,0.3,0.4,0.2,0.4,0.2,,,,,0.2,0.5,0.4,0.21,0.2,0.3
MARCO,0.51,0.07,0.34,0.05,,,0.67,0.0,0.67,0.02,0.53,0.08,0.52,,0.32,0.04,0.31,0.05
PABLO,0.29,0.43,0.28,0.4,,,0.26,0.393,0.03,0.055,0.28,0.41,0.25,0.36,,,0.28,0.4
WALDO,0.58,0.58,0.55,0.55,,,0.56,0.56,0.56,0.56,0.56,0.56,0.45,0.45,0.56,0.56,0.56,0.56
